Country;Month;Mean of the LMCP per hour (euro/MW);Min;Max
Frankreich;2020-01;5.336720430107527;0.0;11.824166666666665
Frankreich;2020-02;6.065905172413793;2.9791666666666665;12.66125
Frankreich;2020-03;5.4799999999999995;3.0;10.916666666666666
Frankreich;2020-04;6.955805555555555;3.26375;11.5225
Frankreich;2020-05;5.715067204301075;2.7083333333333335;18.233333333333334
Frankreich;2020-06;5.538263888888889;2.7083333333333335;8.757916666666667
Frankreich;2020-07;6.08386111111111;3.4566666666666666;17.91125
Frankreich;2020-08;7.277110215053764;4.77125;13.809166666666668
Frankreich;2020-09;10.235944444444444;7.215833333333333;18.95875
Frankreich;2020-10;8.761048387096775;3.0625;14.287083333333335
Frankreich;2020-11;6.968458333333333;3.766666666666667;11.625
Frankreich;2020-12;6.369395161290322;3.365;13.579583333333332
Frankreich;2021-01;4.770080645161291;2.435;9.855833333333335
Frankreich;2021-02;5.511577380952382;1.7733333333333334;12.591666666666669
Frankreich;2021-03;6.309838709677419;2.49875;17.058333333333334
Frankreich;2021-04;12.714152777777777;6.0495833333333335;20.808333333333334
Frankreich;2021-05;16.748602150537636;4.416666666666667;29.649583333333336
Frankreich;2021-06;12.780166666666666;5.408333333333334;16.923333333333332
Frankreich;2021-07;17.38407258064516;10.801250000000001;36.1025
Frankreich;2021-08;14.785497311827957;7.958333333333333;28.30458333333333
Frankreich;2021-09;17.593166666666665;12.206666666666665;32.98166666666666
Frankreich;2021-10;49.35568548387097;18.47375;263.7916666666667
Frankreich;2021-11;24.904152777777778;12.655416666666667;38.75
Frankreich;2021-12;26.025940860215055;10.739166666666668;92.13541666666667
Frankreich;2022-01;16.95369623655914;5.848333333333334;30.17
Frankreich;2022-02;21.22809523809524;5.375;41.53
Frankreich;2022-03;25.890739247311828;14.287916666666668;51.535
Frankreich;2022-04;21.84969444444444;9.662916666666666;49.35041666666666
Frankreich;2022-05;18.927204301075268;7.958333333333333;30.324166666666667
Frankreich;2022-06;17.76475;8.0075;32.891666666666666
Frankreich;2022-07;26.364381720430107;13.733333333333333;66.04208333333332
Frankreich;2022-08;32.91862903225807;14.041666666666666;79.45708333333333
Frankreich;2022-09;24.72311111111111;13.333333333333334;38.946666666666665
Frankreich;2022-10;32.59435483870968;15.803333333333333;72.56791666666668
Frankreich;2022-11;15.253513888888888;7.430416666666666;29.435000000000002
Frankreich;2022-12;12.247755376344085;3.776666666666667;22.804999999999996
Frankreich;2023-01;8.691290322580645;3.231666666666667;22.848750000000006
Frankreich;2023-02;13.806205357142858;5.144166666666666;28.800833333333333
Frankreich;2023-03;12.636948924731183;3.18125;22.625833333333333
Frankreich;2023-04;6.978097222222222;1.8500000000000003;13.8375
Frankreich;2023-05;5.635376344086021;0.9266666666666667;12.642499999999998
Frankreich;2023-06;5.401624999999999;0.6749999999999999;31.6425
Frankreich;2023-07;4.854180107526881;1.7983333333333331;11.865
Frankreich;2023-08;5.591693548387097;1.70375;11.154166666666667
Frankreich;2023-09;6.732541666666666;1.7320833333333334;16.1525
Frankreich;2023-10;9.261635802469137;2.0479166666666666;16.63416666666667
